timestamp,temperature,humidity,pm2_5,co2
2025-02-10 19:36:34,24.815,45.48,4.0,400.0
2025-02-10 19:37:34,24.815,45.47,4.8,400.0
2025-02-10 19:38:34,24.81,45.48,3.8,400.0
2025-02-10 19:39:34,24.81,45.47,4.1,400.0
2025-02-10 19:40:34,24.81,45.46,4.0,400.0
2025-02-10 19:41:34,24.81,45.48,4.2,400.0
2025-02-10 19:42:34,24.81,45.48,4.3,400.0
2025-02-10 19:43:34,24.81,45.5,3.9,400.0
2025-02-10 19:44:34,24.81,45.47,4.3,400.0
2025-02-10 19:45:43,24.81,45.46,4.5,400.0
2025-02-10 19:46:43,24.81,45.48,4.0,400.0
2025-02-10 19:47:43,24.805,45.48,4.0,400.0
2025-02-10 19:48:43,24.805,45.48,4.4,400.0
2025-02-10 19:49:43,24.805,45.46,4.3,400.0
2025-02-10 19:50:43,24.805,45.49,4.5,400.0
2025-02-10 19:51:43,24.81,45.48,4.2,400.0
2025-02-10 19:52:43,24.81,45.49,3.8,400.0
2025-02-10 19:53:43,24.805,45.47,4.5,400.0
2025-02-10 19:54:43,24.805,45.48,3.9,400.0
2025-02-10 19:55:43,24.81,45.49,4.5,400.0
2025-02-10 19:56:43,24.81,45.48,3.8,400.0
2025-02-10 19:57:43,24.81,45.49,4.7,400.0
2025-02-10 19:58:43,24.81,45.49,4.4,400.0
2025-02-10 19:59:43,24.81,45.49,4.0,400.0
2025-02-10 20:01:00,24.81,45.48,4.7,400.0
2025-02-10 20:02:00,24.81,45.51,4.1,400.0
2025-02-10 20:03:00,24.81,45.49,3.8,400.0
2025-02-10 20:04:00,24.81,45.5,4.1,400.0
2025-02-10 20:05:00,24.81,45.48,4.0,400.0
2025-02-10 20:06:00,24.81,45.5,3.4,400.0
2025-02-10 20:07:00,24.81,45.5,3.6,400.0
2025-02-10 20:08:00,24.81,45.47,3.9,400.0
2025-02-10 20:09:00,24.81,45.46,4.3,400.0
2025-02-10 20:09:39,24.81,45.48,4.0,400.0
2025-02-10 20:10:39,24.81,45.47,4.3,400.0
2025-02-10 20:11:45,24.81,45.49,4.3,400.0
2025-02-10 20:12:38,24.81,45.5,3.9,400.0
2025-02-10 20:13:38,24.81,45.51,5.0,400.0
2025-02-10 20:14:38,24.815,45.49,4.0,400.0
2025-02-10 20:15:38,24.815,45.47,4.1,400.0
2025-02-10 20:16:38,24.815,45.45,4.3,400.0
2025-02-10 20:17:38,24.82,45.51,4.3,400.0
2025-02-10 20:18:38,24.82,45.49,4.0,400.0
2025-02-10 20:19:38,24.82,45.47,4.5,400.0
2025-02-10 20:20:38,24.825,45.47,4.8,400.0
2025-02-10 20:21:38,24.825,45.45,4.0,400.0
2025-02-10 20:22:38,24.825,45.45,4.8,400.0
2025-02-10 20:23:38,24.825,45.46,4.8,400.0
2025-02-10 20:24:38,24.825,45.45,3.9,400.0
2025-02-10 20:25:38,24.825,45.48,4.8,400.0
2025-02-10 20:26:38,24.825,45.45,4.3,400.0
2025-02-10 20:27:46,24.83,45.44,4.5,400.0
2025-02-10 20:28:46,24.83,45.46,4.2,400.0
2025-02-10 20:29:46,24.83,45.47,3.8,400.0
2025-02-10 20:30:46,24.83,45.45,4.1,400.0
2025-02-10 20:31:46,24.83,45.48,3.8,400.0
2025-02-10 20:32:46,24.835,45.46,4.5,400.0
2025-02-10 20:33:46,24.835,45.45,4.1,400.0
2025-02-10 20:34:46,24.835,45.44,4.5,400.0
2025-02-10 20:35:46,24.835,45.46,4.2,400.0
2025-02-10 20:36:46,24.835,45.45,4.8,400.0
2025-02-10 20:37:46,24.835,45.43,4.4,400.0
2025-02-10 20:38:46,24.835,45.43,4.7,400.0
2025-02-10 20:39:47,24.83,45.44,3.4,400.0
2025-02-10 20:40:47,24.83,45.43,4.1,400.0
2025-02-10 20:41:47,24.83,45.46,4.2,400.0
